7zip	25.01+dfsg-1~deb13u2
accountsservice	23.13.9-7
acl	2.3.2-2+b1
adduser	3.152
adwaita-icon-theme	48.1-1
alsa-topology-conf	1.2.5.1-3
alsa-ucm-conf	1.2.14-1
amd64-microcode	3.20250311.1
apache2-bin	2.4.68-1~deb13u1
apparmor	4.1.0-1
appstream	1.0.5-1
apt	3.0.3
apt-config-icons	1.0.5-1
apt-utils	3.0.3
aspell	0.60.8.1-4
aspell-en	2020.12.07-0-1
atmel-firmware	1.3-7.1
at-spi2-common	2.56.2-1+deb13u2
at-spi2-core	2.56.2-1+deb13u2
audacious	4.4.2-1
audacious-plugins	4.4.2-2+b1
audacious-plugins-data	4.4.2-2
avahi-daemon	0.8-16
b43-fwcutter	1:019-14
baobab	48.0-2+b1
base-files	13.8+deb13u7
base-passwd	3.6.7
bash	5.2.37-2+b10
bash-completion	1:2.16.0-7
bat	0.25.0-2+b2
bc	1.07.1-4
binutils	2.44-3
binutils-common	2.44-3
binutils-x86-64-linux-gnu	2.44-3
bluez	5.82-1.1
bluez-firmware	1.2-13
bluez-obexd	5.82-1.1
bolt	0.9.8-1
bsdextrautils	2.41.5-0+deb13u1
bsdutils	1:2.41.5-0+deb13u1
btop	1.3.2-0.1
btrfs-progs	6.14-1
bubblewrap	0.12.0-1~deb13u1
build-essential	12.12
busybox	1:1.37.0-6+b9
bzip2	1.0.8-6
cabextract	1.11-2
ca-certificates	20250419
calamares	3.3.14-1
calamares-settings-debian	13.0.13-1
chafa	1.14.5-1
colord	1.4.7-3
colord-data	1.4.7-3
console-setup	1.242~deb13u1
console-setup-linux	1.242~deb13u1
coreutils	9.7-3
cpio	2.15+dfsg-2
cpp-14	14.2.0-19
cpp-14-x86-64-linux-gnu	14.2.0-19
cpp	4:14.2.0-1
cpp-x86-64-linux-gnu	4:14.2.0-1
cracklib-runtime	2.9.6-5.2+b1
cron	3.0pl1-197
cron-daemon-common	3.0pl1-197
cryptsetup	2:2.7.5-2
cryptsetup-bin	2:2.7.5-2
cups	2.4.10-3+deb13u2
cups-browsed	1.28.17-6+deb13u1
cups-client	2.4.10-3+deb13u2
cups-common	2.4.10-3+deb13u2
cups-core-drivers	2.4.10-3+deb13u2
cups-daemon	2.4.10-3+deb13u2
cups-filters	1.28.17-6+deb13u1
cups-filters-core-drivers	1.28.17-6+deb13u1
cups-ipp-utils	2.4.10-3+deb13u2
cups-pk-helper	0.2.6-2.1
cups-ppdc	2.4.10-3+deb13u2
cups-server-common	2.4.10-3+deb13u2
curl	8.14.1-2+deb13u5
dahdi-firmware-nonfree	2.11.1.0.20170917-3
dash	0.5.12-12
dbus	1.16.2-2
dbus-bin	1.16.2-2
dbus-daemon	1.16.2-2
dbus-session-bus-common	1.16.2-2
dbus-system-bus-common	1.16.2-2
dbus-user-session	1.16.2-2
dconf-cli	0.40.0-5
dconf-gsettings-backend	0.40.0-5
